Wavelength (nm),Q_sca,Q_abs,Q_ext
300,17.348086009255994,4.51345816260164,21.861544171857634
305,16.238175397215493,4.43946704518194,20.67764244239743
310,15.215625489292993,4.367862738001586,19.58348822729458
315,14.272313292717325,4.298531583430132,18.570844876147458
320,13.400983493325565,4.2313670274390365,17.632350520764604
325,12.595144129684959,4.166269073170744,16.761413202855703
330,11.84897616915237,4.103143784183308,15.952119953335679
335,11.15725495767494,4.041902832180572,15.199157789855512
340,10.515281835928501,3.982463084648505,14.497744920577006
345,9.918824480619202,3.9247462283492514,13.843570708968453
350,9.364064751351835,3.868678425087119,13.232743176438953
355,8.84755300839632,3.814189996564765,12.661743004961085
360,8.366168021439037,3.7612151355013657,12.127383156940404
365,7.917081719250059,3.7096916404944977,11.626773359744558
370,7.497728139416704,3.6595606723797074,11.157288811796413
375,7.105776029391253,3.610766530081311,10.716542559472565
380,6.739104627946259,3.5632564441591885,10.302361072105448
385,6.3957822220830804,3.5169803864428353,9.912762608525917
390,6.074047130442207,3.471890894308953,9.545938024751159
395,5.772290811923025,3.427942908305042,9.200233720228066
400,5.489042838866151,3.385093621951229,8.87413646081738
405,5.222957508888018,3.3433023426678807,8.566259851555898
410,4.972801899204267,3.302530362879248,8.275332262083515
415,4.737445192803124,3.2627408404349194,8.000186033238043
420,4.515849127773842,3.2238986875725995,7.739747815346442
425,4.307059439996313,3.185970467718804,7.493029907715117
430,4.110198185708192,3.1489242994895155,7.259122485197707
435,3.924456844565255,3.112729767311475,7.03718661187673
440,3.7490901160208687,3.0773578381374813,6.8264479541583505
445,3.583410332441864,3.0427807837763856,6.62619111621825
450,3.426782421581429,3.0089721084010925,6.435754529982521
455,3.2786193590391917,2.975906480836245,6.254525839875437
460,3.138378058320919,2.9435596712619385,6.081937729582858
465,3.0055556522060227,2.9119084920010576,5.917464144207081
470,2.879686124461282,2.8809307420861527,5.760616866547435
475,2.760337255606787,2.850605155327351,5.610942410934138
480,2.647107850533446,2.8209113516260245,5.4680192021594705
485,2.539625219366208,2.791829791299983,5.3314550106661915
490,2.437542886128653,2.763341732205085,5.200884618333738
495,2.340538502548616,2.7354291894555387,5.075967692004155
500,2.248311946799576,2.708074897560983,4.9563868443605585
505,2.1605835891402885,2.681262274812855,4.841845863953143
510,2.077092708331556,2.65497538976567,4.732068098097226
515,1.9975960444055303,2.6291989296708573,4.626794974076388
520,1.9218664748664798,2.6039181707317147,4.525784645598194
525,1.8496918027361653,2.5791189500580796,4.428810752794245
530,1.7808736460422814,2.5547876392084747,4.335661285250756
535,1.7152264194026465,2.5309111192158724,4.246137538618519
540,1.6525763992965992,2.5074767570009104,4.16005315629751
545,1.592760865451893,2.484472383083471,4.077233248535364
550,1.5356273115221473,2.461886270509985,3.9975135820321324
555,1.4810327188971268,2.439707114919805,3.920739833816932
560,1.4288428880846917,2.4179240156794495,3.8467669037641414
565,1.3789318226374585,2.3965264580185694,3.7754582806560277
570,1.3311811610758046,2.375504296106126,3.7066854571819308
575,1.2854796526882482,2.3548477370095506,3.6403273896977986
580,1.2417226734757252,2.3345473254836064,3.5762699989593316
585,1.199811778852782,2.3145939295393023,3.5144057083920845
590,1.159654290030424,2.2949787267465958,3.45463301677702
595,1.1211629112860042,2.275693191227717,3.3968561025137216
600,1.0842553755784996,2.25672908130082,3.3409844568793194
605,1.048854116195716,2.2380784277363497,3.286932543932066
610,1.0148859623259683,2.21973352259097,3.234619484916938
615,0.9822818566329421,2.2016869085861654,3.1839687652191078
620,0.9509765930808121,2.183931369000793,3.1349079620816047
625,0.9209085734091063,2.166459918048787,3.087368491457893
630,0.8920195807948328,2.149265791715066,3.0412853725098987
635,0.8642545693645776,2.1323424390243964,2.996597008388974
640,0.8375614683328478,2.1156835137195182,2.9532449820523663
645,0.8118909996460624,2.0992828663263436,2.911173865972406
650,0.7871965081053099,2.083134536585372,2.870331044690682
655,0.7634338030262414,2.067232746229758,2.8306665492559997
660,0.7405610105720232,2.051571892091654,2.792132902663677
665,0.7185384359659487,2.0361465395195366,2.7546849754854854
670,0.6973284348546838,2.020951416090286,2.7182798509449695
675,0.6768952931518872,2.0059814056007284,2.6828766987526156
680,0.6572051147455313,1.9912315423242526,2.6484366570697837
685,0.6382257165012388,1.9766970055189659,2.6149227220202045
690,0.6199265300387001,1.9623731141746257,2.5822996442133257
695,0.6022785097991666,1.948255321986319,2.5505338317854855
700,0.5852540469594897,1.9343392125435594,2.5195932595030492
705,0.5688268887824752,1.9206204947241017,2.489447383506577
710,0.55297206302477,1.9070949982823826,2.4600670613071527
715,0.5376658070523258,1.8937586696230655,2.4314244766753914
720,0.5228855013399398,1.8806075677506828,2.4034930690906227
725,0.508609607055657,1.867637860386885,2.3762474674425422
730,0.4948176074531287,1.8548458202472489,2.3496634277003774
735,0.48148995281553647,1.8422278214700567,2.3237177742855932
740,0.468608008713544,1.8297803361898537,2.2983883449033975
745,0.4561540073571076,1.8174999312489821,2.2736539386060897
750,0.4441110018369533,1.8053832650406556,2.249494266877609
755,0.4324628230662569,1.7934270844774725,2.2258899075437295
760,0.42119403924664117,1.7816282220795943,2.2028222613262356
765,0.41028991769512224,1.7699835931771133,2.1802735108722358
770,0.39973638888019253,1.7584901932214176,2.15822658210161
775,0.38952001252590035,1.7471450952006344,2.1366651077265346
780,0.3796279456526379,1.7359454471544764,2.1155733928071143
785,0.3700479124324604,1.7248884697840658,2.094936382216526
790,0.36076817574518905,1.713971454152521,2.07473962989771
795,0.3517775103293398,1.7031917594723167,2.0549692698016564
800,0.34306517742913445,1.6925468109756145,2.035611988404749
